crop_id,crop_name,crop_name_te,scientific_name,category,category_te,n_ideal,p_ideal,k_ideal,n_range,p_range,k_range,ph_ideal,ph_range,temp_ideal,humidity_ideal,rainfall_ideal,season,season_te,soil_type,soil_type_te,water_requirement,water_requirement_te
rice,Rice (Paddy),వరి (వరి ధాన్యం),Oryza sativa,Grains & Cereals,ధాన్యాలు,90,45,45,60 - 120 kg/ha,35 - 60 kg/ha,35 - 55 kg/ha,6.5,5.5 - 7.5,26.0,82.0,220.0,Kharif / Rabi,ఖరీఫ్ / రబీ,Clayey Loam / Alluvial,బంకమట్టి / ఒండ్రు నేలలు,Very High (Submerged / Flooded),చాలా ఎక్కువ (నీటి నిల్వ అవసరం)
wheat,Wheat,గోధుమ,Triticum aestivum,Grains & Cereals,ధాన్యాలు,60,45,35,40 - 90 kg/ha,30 - 60 kg/ha,25 - 45 kg/ha,6.8,6.0 - 7.5,18.0,60.0,75.0,Rabi (Winter),రబీ (శీతాకాలం),Well-drained Loam / Clay Loam,నీరు నిలవని సారవంతమైన ఒండ్రు నేలలు,Moderate (4-6 Irrigations),మధ్యస్థం (4-6 తడులు)
maize,Maize (Corn),మొక్కజొన్న,Zea mays,Grains & Cereals,ధాన్యాలు,85,48,25,60 - 110 kg/ha,35 - 60 kg/ha,15 - 35 kg/ha,6.5,5.8 - 7.5,24.5,65.0,90.0,Kharif / Rabi / Spring,ఖరీఫ్ / రబీ / వేసవి,Deep Loamy / Silt Loam,లోతైన ఒండ్రు నేలలు,Moderate,మధ్యస్థం
millet,Pearl Millet (Bajra),సజ్జలు (బాజ్రా),Pennisetum glaucum,Grains & Cereals,ధాన్యాలు,60,35,30,40 - 80 kg/ha,25 - 45 kg/ha,20 - 40 kg/ha,7.5,6.5 - 8.5,30.0,50.0,50.0,Kharif (Monsoon),ఖరీఫ్ (వర్షాకాలం),Sandy Loam / Light Red Soil,ఇసుక నేలలు / ఎర్ర నేలలు,Low (Drought Tolerant),చాలా తక్కువ (కరువును తట్టుకుంటుంది)
sorghum,Sorghum (Jowar),జొన్నలు (జొన్న),Sorghum bicolor,Grains & Cereals,ధాన్యాలు,70,35,30,45 - 90 kg/ha,25 - 50 kg/ha,20 - 45 kg/ha,7.0,6.0 - 8.0,28.0,55.0,60.0,Kharif / Rabi,ఖరీఫ్ / రబీ,Black Cotton / Deep Loam,నల్లరేగడి / ఒండ్రు నేలలు,Low to Moderate,తక్కువ నుండి మధ్యస్థం
chickpea,Chickpea (Chana),శనగలు (శనగ),Cicer arietinum,Pulses & Legumes,పప్పుధాన్యాలు,38,68,80,20 - 55 kg/ha,50 - 85 kg/ha,65 - 95 kg/ha,7.3,6.0 - 8.5,19.5,18.0,80.0,Rabi (Winter),రబీ (శీతాకాలం),Well-drained Black / Heavy Loam,నీరు నిలవని నల్లరేగడి నేలలు,Low (Sensitive to waterlogging),తక్కువ (నీటి నిల్వను తట్టుకోదు)
kidneybeans,Kidney Beans (Rajma),రాజ్మా (కిడ్నీ బీన్స్),Phaseolus vulgaris,Pulses & Legumes,పప్పుధాన్యాలు,25,65,20,10 - 40 kg/ha,50 - 80 kg/ha,15 - 30 kg/ha,6.2,5.5 - 6.8,20.0,22.0,105.0,Kharif (Hills) / Rabi (Plains),ఖరీఫ్ / రబీ,Light Loam / Sandy Loam,తేలికపాటి ఒండ్రు నేలలు,Moderate,మధ్యస్థం
pigeonpeas,Pigeon Peas (Red Gram / Toor Dal),కందులు (తొగరి పప్పు),Cajanus cajan,Pulses & Legumes,పప్పుధాన్యాలు,22,67,20,10 - 40 kg/ha,55 - 80 kg/ha,15 - 30 kg/ha,6.5,5.5 - 7.5,28.0,55.0,150.0,Kharif,ఖరీఫ్,Deep Loam / Black Cotton Soil,లోతైన ఒండ్రు / నల్లరేగడి నేలలు,Moderate (Deep Rooted),మధ్యస్థం (లోతైన వేర్లు)
mothbeans,Moth Beans,బొబ్బర్లు / మోత్ బీన్స్,Vigna aconitifolia,Pulses & Legumes,పప్పుధాన్యాలు,22,48,20,10 - 40 kg/ha,35 - 60 kg/ha,15 - 30 kg/ha,6.8,5.0 - 7.5,28.0,53.0,50.0,Kharif,ఖరీఫ్,Sandy / Arid Soils,ఇసుక / ఎడారి నేలలు,Very Low (Drought Resistant),చాలా తక్కువ
mungbean,Mung Bean (Green Gram),పెసలు (పెసర పప్పు),Mung Bean (Green Gram) spp.,Pulses & Legumes,పప్పుధాన్యాలు,21,48,20,10 - 40 kg/ha,35 - 60 kg/ha,15 - 30 kg/ha,6.7,6.2 - 7.5,28.5,85.0,50.0,Kharif / Summer,ఖరీఫ్ / వేసవి,Loamy / Well-drained Red Soil,ఒండ్రు / ఎర్ర నేలలు,Low,తక్కువ
blackgram,Black Gram (Urad Dal),మినుములు (మినప పప్పు),Vigna mungo,Pulses & Legumes,పప్పుధాన్యాలు,40,68,19,20 - 55 kg/ha,55 - 80 kg/ha,15 - 30 kg/ha,7.1,6.5 - 7.8,30.0,65.0,70.0,Kharif / Rabi (Rice Fallow),ఖరీఫ్ / రబీ,Loam / Heavy Black Clay,ఒండ్రు / నల్లరేగడి నేలలు,Moderate,మధ్యస్థం
lentil,Lentil (Masoor Dal),ఎర్ర కందిపప్పు (మసూర్ దాల్),Lens culinaris,Pulses & Legumes,పప్పుధాన్యాలు,20,68,20,10 - 35 kg/ha,55 - 80 kg/ha,15 - 30 kg/ha,6.9,6.0 - 7.8,24.0,66.0,48.0,Rabi (Winter),రబీ (శీతాకాలం),Alluvial / Clay Loam,ఒండ్రు / బంకమట్టి నేలలు,Low,తక్కువ
tomato,Tomato,టమాట,Solanum lycopersicum,Vegetables,కూరగాయలు,100,70,90,70 - 130 kg/ha,50 - 90 kg/ha,60 - 120 kg/ha,6.5,6.0 - 7.0,23.5,65.0,85.0,Year-round (Kharif / Rabi),ఖరీఫ్ / రబీ (సంవత్సరం పొడవునా),Well-drained Sandy Loam / Red Loam,సారవంతమైన ఇసుక ఒండ్రు నేలలు,Moderate to High (Drip Ideal),మధ్యస్థం నుండి ఎక్కువ (డ్రిప్ అనుకూలం)
potato,Potato,బంగాళాదుంప (ఆలుగడ్డ),Solanum tuberosum,Vegetables,కూరగాయలు,110,80,120,80 - 140 kg/ha,60 - 100 kg/ha,90 - 150 kg/ha,5.8,5.2 - 6.5,18.5,70.0,70.0,Rabi (Winter),రబీ (శీతాకాలం),Loose Sandy Loam rich in organic matter,సేంద్రీయ పదార్థం గల తేలికపాటి ఇసుక నేలలు,Moderate (Frequent Light Irrigations),మధ్యస్థం (క్రమమైన తేలికపాటి తడులు)
onion,Onion,ఉల్లిపాయ,Allium cepa,Vegetables,కూరగాయలు,85,55,70,60 - 110 kg/ha,40 - 75 kg/ha,50 - 95 kg/ha,6.8,6.0 - 7.5,22.0,60.0,65.0,Rabi / Kharif / Late Kharif,రబీ / ఖరీఫ్,Friable Sandy Loam / Silt Loam,గుల్లగా ఉండే ఇసుక ఒండ్రు నేలలు,Moderate,మధ్యస్థం
chilli,Chilli,పచ్చిమిర్చి (మిరప),Capsicum annuum,Vegetables,కూరగాయలు,95,60,65,70 - 120 kg/ha,45 - 75 kg/ha,45 - 85 kg/ha,6.7,6.0 - 7.5,26.0,65.0,80.0,Kharif / Rabi,ఖరీఫ్ / రబీ,Black / Red Loamy Soils,నల్లరేగడి / ఎర్ర ఒండ్రు నేలలు,Moderate,మధ్యస్థం
brinjal,Brinjal (Eggplant),వంకాయ,Solanum melongena,Vegetables,కూరగాయలు,90,55,60,65 - 115 kg/ha,40 - 70 kg/ha,40 - 80 kg/ha,6.5,5.8 - 7.2,25.5,70.0,85.0,Year-round,సంవత్సరం పొడవునా,Deep Silt Loam / Clay Loam,సారవంతమైన ఒండ్రు నేలలు,Moderate,మధ్యస్థం
okra,Okra (Lady's Finger),బెండకాయ,Abelmoschus esculentus,Vegetables,కూరగాయలు,70,50,50,50 - 90 kg/ha,35 - 65 kg/ha,35 - 70 kg/ha,6.8,6.0 - 7.5,28.0,65.0,75.0,Summer / Kharif,వేసవి / ఖరీఫ్,Sandy Loam to Clay Loam,ఇసుక ఒండ్రు నేలలు,Moderate,మధ్యస్థం
cabbage,Cabbage,క్యాబేజీ,Brassica oleracea,Vegetables,కూరగాయలు,105,60,85,75 - 130 kg/ha,45 - 80 kg/ha,60 - 110 kg/ha,6.5,6.0 - 7.5,17.5,75.0,70.0,Rabi (Winter),రబీ (శీతాకాలం),Rich Well-drained Loam,సారవంతమైన ఒండ్రు నేలలు,Moderate to High,మధ్యస్థం నుండి ఎక్కువ
cauliflower,Cauliflower,కాలీఫ్లవర్,Brassica oleracea var. botrytis,Vegetables,కూరగాయలు,110,65,90,80 - 140 kg/ha,50 - 85 kg/ha,65 - 115 kg/ha,6.7,6.0 - 7.5,18.5,72.0,75.0,Rabi (Winter),రబీ (శీతాకాలం),Deep Loamy / Silt Loam,లోతైన ఒండ్రు నేలలు,Moderate to High,మధ్యస్థం నుండి ఎక్కువ
carrot,Carrot,క్యారెట్,Daucus carota,Vegetables,కూరగాయలు,60,50,90,40 - 80 kg/ha,35 - 70 kg/ha,60 - 120 kg/ha,6.5,5.8 - 7.0,16.5,65.0,60.0,Rabi (Winter),రబీ (శీతాకాలం),"Deep, Loose, Stone-free Sandy Loam",రాళ్లు లేని లోతైన ఇసుక ఒండ్రు నేలలు,Moderate,మధ్యస్థం
radish,Radish,ముల్లంగి,Raphanus sativus,Vegetables,కూరగాయలు,55,40,60,35 - 75 kg/ha,25 - 55 kg/ha,40 - 80 kg/ha,6.5,6.0 - 7.2,19.0,60.0,55.0,Year-round (Best in Winter),సంవత్సరం పొడవునా (శీతాకాలం ఉత్తమం),Light Sandy Loam,తేలికపాటి ఇసుక నేలలు,Moderate,మధ్యస్థం
spinach,Spinach (Palak),పాలకూర,Spinacia oleracea,Leafy Vegetables,ఆకుకూరలు,70,45,60,50 - 90 kg/ha,30 - 60 kg/ha,40 - 80 kg/ha,6.8,6.0 - 7.5,20.0,70.0,65.0,Year-round (Best in Rabi),సంవత్సరం పొడవునా (రబీ ఉత్తమం),Moisture-retentive Fertile Loam,తేమ నిలిచే సారవంతమైన ఒండ్రు నేలలు,Moderate (Frequent Light Irrigation),మధ్యస్థం (తరచుగా తేలికపాటి నీరు)
amaranthus,Amaranthus (Thotakura),తోటకూర,Amaranthus tricolor,Leafy Vegetables,ఆకుకూరలు,65,38,50,45 - 85 kg/ha,25 - 50 kg/ha,35 - 70 kg/ha,6.5,5.8 - 7.5,28.0,65.0,60.0,Summer / Kharif,వేసవి / ఖరీఫ్,Well-drained Loam / Sandy Loam,నీరు నిలవని ఇసుక ఒండ్రు నేలలు,Moderate,మధ్యస్థం
fenugreek,Fenugreek (Methi),మెంతికూర (మెంతులు),Trigonella foenum-graecum,Leafy Vegetables,ఆకుకూరలు,45,35,35,30 - 60 kg/ha,25 - 50 kg/ha,25 - 50 kg/ha,6.7,6.0 - 7.5,19.0,60.0,50.0,Rabi (Winter),రబీ (శీతాకాలం),Loamy / Clayey Loam,ఒండ్రు / బంకమట్టి నేలలు,Low to Moderate,తక్కువ నుండి మధ్యస్థం
